party,year,emissions_gt
Canada,1995,0.6390702852522435
Canada,1996,0.6607678029939805
Canada,1997,0.6763942243352553
Canada,1998,0.6824348298660472
Canada,1999,0.6945169382513708
Canada,2000,0.7194637136865278
Canada,2001,0.7101718398389998
Canada,2002,0.7154897654960621
Canada,2003,0.7341405465202886
Canada,2004,0.7367254567196602
Canada,2005,0.7322200929937717
Canada,2006,0.7252892228794755
Canada,2007,0.7480700908710177
Canada,2008,0.7308012355870068
Canada,2009,0.6895493184216195
Canada,2010,0.7018675474300764
Canada,2011,0.7113128231873123
Canada,2012,0.716370500321952
Canada,2013,0.7230963044409423
Canada,2014,0.7201954590728362
Canada,2015,0.7229182679779262
Canada,2016,0.7049278674717193
Canada,2017,0.7122338013686699
Canada,2018,0.7246157797806065
Canada,2019,0.7236792904266173
Canada,2020,0.6587883896036918
Canada,2021,0.6704283045378723
Croatia,1990,0.031454182049505654
Croatia,1991,0.02481823437923001
Croatia,1992,0.02293256658935529
Croatia,1993,0.02293042294486198
Croatia,1994,0.022015023672932826
Croatia,1995,0.022686425014166428
Croatia,1996,0.023180048761195234
Croatia,1997,0.024543046493014236
Croatia,1998,0.024667911249129457
Croatia,1999,0.025955207997899826
Croatia,2000,0.02565364726358569
Croatia,2001,0.02684069089021763
Croatia,2002,0.027906893556667006
Croatia,2003,0.029369440381903967
Croatia,2004,0.029386445032258707
Croatia,2005,0.029876440591733965
Croatia,2006,0.030283881349786167
Croatia,2007,0.03172087233461706
Croatia,2008,0.030767538917980612
Croatia,2009,0.028577637610645207
Croatia,2010,0.028171061292020856
Croatia,2011,0.027868670314587823
Croatia,2012,0.02611309800862379
Croatia,2013,0.02489009352259266
Croatia,2014,0.02415718476326256
Croatia,2015,0.024611048154647583
Croatia,2016,0.024833944313946373
Croatia,2017,0.02570930709607025
Croatia,2018,0.024600986811995004
Croatia,2019,0.024799385011949743
Croatia,2020,0.023906817848570832
Croatia,2021,0.024446418231731225
Cyprus,1990,0.005571727811685487
Cyprus,1991,0.00607634944153024
Cyprus,1992,0.00651367456447651
Cyprus,1993,0.006800583923925365
Cyprus,1994,0.007057366490075754
Cyprus,1995,0.006972183054918783
Cyprus,1996,0.0073450281024822735
Cyprus,1997,0.007439032833295902
Cyprus,1998,0.007754896461701197
Cyprus,1999,0.008032289470936125
Cyprus,2000,0.008306443173193779
Cyprus,2001,0.008247747418949432
Cyprus,2002,0.008482312590852943
Cyprus,2003,0.008874123558494127
Cyprus,2004,0.009077631146049474
Cyprus,2005,0.009222441576415212
Cyprus,2006,0.009470487555075542
Cyprus,2007,0.009803649522391086
Cyprus,2008,0.010025399885993887
Cyprus,2009,0.00978997854715473
Cyprus,2010,0.009455867353293164
Cyprus,2011,0.009158463176854967
Cyprus,2012,0.008624684297646804
Cyprus,2013,0.007920234979570166
Cyprus,2014,0.008294915275673744
Cyprus,2015,0.008343271572793527
Cyprus,2016,0.008790122519397406
Cyprus,2017,0.00896606743170521
Cyprus,2018,0.008821195681516547
Cyprus,2019,0.008891618752554375
Cyprus,2020,0.008502857427750891
Cyprus,2021,0.008670015238133424
Czechia,1990,0.19877527153182015
Czechia,1991,0.18085966542842946
Czechia,1992,0.17503484613820625
Czechia,1993,0.16832366868175905
Czechia,1994,0.1594106378902444
Czechia,1995,0.15837195051666741
Czechia,1996,0.16170965127607465
Czechia,1997,0.1572003676524051
Czechia,1998,0.15103459419537915
Czechia,1999,0.14106200751523212
Czechia,2000,0.15113920953375787
Czechia,2001,0.15076015266118276
Czechia,2002,0.14696574943071794
Czechia,2003,0.15015289248229619
Czechia,2004,0.15100998867173088
Czechia,2005,0.14893498799480692
Czechia,2006,0.15016677315367752
Czechia,2007,0.15182989117681425
Czechia,2008,0.1467685864358062
Czechia,2009,0.1372802936613009
Czechia,2010,0.1401675717679914
Czechia,2011,0.13856800191286142
Czechia,2012,0.13461018177386408
Czechia,2013,0.12925170674614261
Czechia,2014,0.12708004139212115
Czechia,2015,0.12850644901590094
Czechia,2016,0.1301069659852731
Czechia,2017,0.13095193561801888
Czechia,2018,0.12918005513198544
Czechia,2019,0.1234512605624349
Czechia,2020,0.11307205225478217
Czechia,2021,0.11838169060542549
Denmark,1990,0.07182093501527356
Denmark,1991,0.08243299573874245
Denmark,1992,0.07651757785143179
Denmark,1993,0.07867086383663424
Denmark,1994,0.08259877103403174
Denmark,1995,0.07974872631546978
Denmark,1996,0.0929286885462225
Denmark,1997,0.08341140809840496
Denmark,1998,0.07945593793904834
Denmark,1999,0.07682489174172316
Denmark,2000,0.0726624487868019
Denmark,2001,0.0743981078605965
Denmark,2002,0.07387115213217971
Denmark,2003,0.07900662258895295
Denmark,2004,0.07306007431236225
Denmark,2005,0.06874818197311817
Denmark,2006,0.07650041365694268
Denmark,2007,0.07188027446396118
Denmark,2008,0.06829135120033311
Denmark,2009,0.06554485635975409
Denmark,2010,0.06585744769665289
Denmark,2011,0.06065262384865774
Denmark,2012,0.05605880832539474
Denmark,2013,0.05777938536213797
Denmark,2014,0.05360889602296179
Denmark,2015,0.05083461940288591
Denmark,2016,0.052906151902954245
Denmark,2017,0.050773914043333195
Denmark,2018,0.05072602155748893
Denmark,2019,0.046941671019645755
Denmark,2020,0.04448380007444337
Denmark,2021,0.04551557908526198
Estonia,1990,0.040276362549513195
Estonia,1991,0.037402714561505186
Estonia,1992,0.027215514696747753
Estonia,1993,0.02175165311583289
Estonia,1994,0.022225022733195654
Estonia,1995,0.020063924469337354
Estonia,1996,0.021007737861659548
Estonia,1997,0.02071924744370987
Estonia,1998,0.01899204106974136
Estonia,1999,0.017829241245953767
Estonia,2000,0.01745333886303412
Estonia,2001,0.017887999897799642
Estonia,2002,0.01730007967465906
Estonia,2003,0.019233276642656703
Estonia,2004,0.019362260520516355
Estonia,2005,0.019140621284684932
Estonia,2006,0.018490054024357598
Estonia,2007,0.02204644173780724
Estonia,2008,0.019941842165167277
Estonia,2009,0.016508258504986103
Estonia,2010,0.02111159503899038
Estonia,2011,0.021079725872828723
Estonia,2012,0.019962929177431116
Estonia,2013,0.021865080329781086
Estonia,2014,0.021040762930853437
Estonia,2015,0.017972591185047543
Estonia,2016,0.019603128667012575
Estonia,2017,0.02089611460785646
Estonia,2018,0.020030103248255843
Estonia,2019,0.014537851647382251
Estonia,2020,0.011407083162753094
Estonia,2021,0.012615171509819088
European Union (Convention),1990,4.860553447865023
European Union (Convention),1991,4.7556194976763635
European Union (Convention),1992,4.605654436023378
European Union (Convention),1993,4.527256345098557
European Union (Convention),1994,4.503905857962807
European Union (Convention),1995,4.5544575572846595
European Union (Convention),1996,4.645355284013922
European Union (Convention),1997,4.574168431254426
European Union (Convention),1998,4.535002614665701
European Union (Convention),1999,4.45898030452088
European Union (Convention),2000,4.446889196270919
European Union (Convention),2001,4.495319801582684
European Union (Convention),2002,4.480931200117772
European Union (Convention),2003,4.561695816783361
European Union (Convention),2004,4.564128221221971
European Union (Convention),2005,4.537296299834187
European Union (Convention),2006,4.533404375745552
European Union (Convention),2007,4.498310539005726
European Union (Convention),2008,4.404071853632181
European Union (Convention),2009,4.089028696362669
European Union (Convention),2010,4.1767941319772515
European Union (Convention),2011,4.066020156645043
European Union (Convention),2012,3.991710900201124
European Union (Convention),2013,3.9051933919545827
European Union (Convention),2014,3.7643330158579036
European Union (Convention),2015,3.8090614742881796
European Union (Convention),2016,3.811406648701867
European Union (Convention),2017,3.832777042593743
European Union (Convention),2018,3.7476558899542014
European Union (Convention),2019,3.5882596058129246
European Union (Convention),2020,3.3004636100149503
European Union (Convention),2021,3.4683940846680135
Finland,1990,0.07108775396261845
Finland,1991,0.06904144926411335
Finland,1992,0.06768154394491036
Finland,1993,0.06991516191134217
Finland,1994,0.0754924106542001
Finland,1995,0.07174358806758356
Finland,1996,0.07772955560944475
Finland,1997,0.07640931395236585
Finland,1998,0.07272718296853332
Finland,1999,0.07204800631703964
Finland,2000,0.07013661497340673
Finland,2001,0.07547478477663387
Finland,2002,0.07788570742729191
Finland,2003,0.08549036893319906
Finland,2004,0.08173942599725492
Finland,2005,0.0697047037406607
Finland,2006,0.08111261076280997
Finland,2007,0.07944135035652627
Finland,2008,0.07131028682329368
Finland,2009,0.0676935790911931
Finland,2010,0.07555595167179578
Finland,2011,0.06781556313020877
Finland,2012,0.062255532912257994
Finland,2013,0.06270093458020655
Finland,2014,0.05851967764818188
Finland,2015,0.055009236758448515
Finland,2016,0.057833195545562203
Finland,2017,0.055030867642559274
Finland,2018,0.05594965611999978
Finland,2019,0.05272608350239061
Finland,2020,0.04775628096703979
Finland,2021,0.04779949035379345
France,1990,0.540830691723612
France,1991,0.5668974261630173
France,1992,0.5572799378957922
France,1993,0.5362444579717817
France,1994,0.5280837958976508
France,1995,0.5341721601227201
France,1996,0.552521597290805
France,1997,0.5449435830394449
France,1998,0.5592842600876162
France,1999,0.5543587704375555
France,2000,0.5487145056501503
France,2001,0.5542832630822243
France,2002,0.548271481894924
France,2003,0.5526094518047159
France,2004,0.552209060632702
France,2005,0.5538994783788981
France,2006,0.5433099254080639
France,2007,0.5335543841830055
France,2008,0.5280881635183394
France,2009,0.5068820991753864
France,2010,0.5111529208408085
France,2011,0.48626432779822887
France,2012,0.48820024808474255
France,2013,0.48790579791121447
France,2014,0.4567510150934993
France,2015,0.460283690766284
France,2016,0.4626416351007919
France,2017,0.46526215452766495
France,2018,0.44707000518617585
France,2019,0.4376466265455071
France,2020,0.3982970307964555
France,2021,0.4200607559362686
Germany,1990,1.2512247820217846
Germany,1991,1.2050645794402581
Germany,1992,1.155625635195283
Germany,1993,1.1463066718871215
Germany,1994,1.1277925707754335
Germany,1995,1.1206608075671864
Germany,1996,1.137868949258957
Germany,1997,1.1021873613480961
Germany,1998,1.0776040521087888
Germany,1999,1.0431808320678393
Germany,2000,1.0401918307374913
Germany,2001,1.0548690731494137
Germany,2002,1.0330378635554802
Germany,2003,1.029390013740585
Germany,2004,1.0102911403540278
Germany,2005,0.9849869707512643
Germany,2006,0.9918973613902655
Germany,2007,0.9648650603174378
Germany,2008,0.9649743186556929
Germany,2009,0.8983360053614668
Germany,2010,0.9323791343375503
Germany,2011,0.9075021586865702
Germany,2012,0.9133477275315437
Germany,2013,0.9335053729951831
Germany,2014,0.8933944200241285
Germany,2015,0.8966578723631193
Germany,2016,0.8985598146406538
Germany,2017,0.8815827789193881
Germany,2018,0.846171189524816
Germany,2019,0.7946336689419402
Germany,2020,0.730922689163224
Germany,2021,0.7603580080578337
Greece,1990,0.10398568654576176
Greece,1991,0.10400631326456984
Greece,1992,0.10528765581789096
Greece,1993,0.10482802553162507
Greece,1994,0.10745757758008047
Greece,1995,0.10958112427883436
Greece,1996,0.11261584276123565
Greece,1997,0.11747046282694361
Greece,1998,0.12299373330469239
Greece,1999,0.12298587498968229
Greece,2000,0.12665945444593693
Greece,2001,0.1277310279390771
Greece,2002,0.12771917342569178
Greece,2003,0.13156900291414808
Greece,2004,0.13221507354936549
Greece,2005,0.13674813906160496
Greece,2006,0.13327070781447714
Greece,2007,0.13585539112081302
Greece,2008,0.13248194250149586
Greece,2009,0.12526138853158425
Greece,2010,0.11915995184704259
Greece,2011,0.11617912320939032
Greece,2012,0.11292394791506064
Greece,2013,0.10326233638486935
Greece,2014,0.09983725805642918
Greece,2015,0.09596528726092017
Greece,2016,0.09227451701634733
Greece,2017,0.09611031732986212
Greece,2018,0.09285712047343356
Greece,2019,0.08615327248765743
Greece,2020,0.075464487330058
Greece,2021,0.07748882832741895
Hungary,1990,0.09498502340001631
Hungary,1991,0.08867484005233968
